Sampling Timestamp,Aluminum Dissolved,Site Name,Station Name,Depth,Value Sign,Unit Symbol,Method,Laboratory,Sampling Number,Sample Number,RDL,Sample Location,Sample Type,Sample Timestamp
08/24/2016 11:20 AM,99.3,WHITESAND LAKE,WHITESAND LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),16SWE08232,16SWE08233,0.13,Centre,DISCRETE SAMPLE (GRAB),08/24/2016 10:20 AM
08/21/2017 12:45 PM,73.2,WHITESAND LAKE,WHITESAND LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),17SWE12748,17SWE12749,0.4,Centre,DISCRETE SAMPLE (GRAB),08/21/2017 11:45 AM
09/14/2020 12:45 PM,124,WHITESAND LAKE,WHITESAND LAKE,0.1,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),20SWE10829,20SWE10830-02,0.4,Centre,REPLICATE SAMPLE,09/14/2020 11:45 AM
09/14/2020 12:45 PM,0.4,WHITESAND LAKE,WHITESAND LAKE,1.0,<,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),20SWE10829,20SWE10830-03,0.4,Centre,FIELD BLANK,09/14/2020 11:45 AM
09/14/2020 12:45 PM,109,WHITESAND LAKE,WHITESAND LAKE,0.1,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),20SWE10829,20SWE10830,0.4,Centre,DISCRETE SAMPLE (GRAB),09/14/2020 11:45 AM
08/17/2021 12:20 PM,102,WHITESAND LAKE,WHITESAND LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),21SWE04611,21SWE04611-02,0.4,Centre,REPLICATE SAMPLE,08/17/2021 11:20 AM
08/17/2021 12:20 PM,96.9,WHITESAND LAKE,WHITESAND LAKE,0.1,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),21SWE04611,21SWE04611-01,0.4,Centre,DISCRETE SAMPLE (GRAB),08/17/2021 11:20 AM
08/17/2021 12:20 PM,0.4,WHITESAND LAKE,WHITESAND LAKE,,<,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),21SWE04611,21SWE04611-03,0.4,Field Blank,FIELD BLANK,08/17/2021 11:20 AM
09/12/2022 11:30 AM,0.9,WHITESAND LAKE,WHITESAND LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),22SWE04603,22SWE04603-03,0.4,Centre,FIELD BLANK,09/12/2022 11:00 AM
09/12/2022 11:30 AM,85.8,WHITESAND LAKE,WHITESAND LAKE,0.1,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),22SWE04603,22SWE04603-02,0.4,Centre,REPLICATE SAMPLE,09/12/2022 10:45 AM
09/12/2022 11:30 AM,90.4,WHITESAND LAKE,WHITESAND LAKE,0.1,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),22SWE04603,22SWE04603-01,0.4,Centre,DISCRETE SAMPLE (GRAB),09/12/2022 10:30 AM
