Sampling Timestamp,Phosphorus Total Dissolved,Site Name,Station Name,Depth,Value Sign,Unit Symbol,Method,Laboratory,Sampling Number,Sample Number,RDL,Sample Location,Sample Type,Sample Timestamp
08/30/2012 9:00 AM,0.004,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,12SWE02310,12SWE02311,0.004,Centre,SINGLE EUPHOTIC COMPOSITE,08/30/2012 8:00 AM
08/26/2013 12:45 PM,0.006,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,13SWE02199,13SWE02200,0.004,Centre,SINGLE EUPHOTIC COMPOSITE,08/26/2013 11:45 AM
08/19/2014 2:30 PM,0.007,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,14SWE02262,14SWE02263,0.002,Centre,SINGLE EUPHOTIC COMPOSITE,08/19/2014 1:30 PM
08/27/2015 4:30 PM,0.005,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,15SWE05478,15SWE05479,0.002,Centre,SINGLE EUPHOTIC COMPOSITE,08/27/2015 3:30 PM
08/23/2016 10:30 AM,0.006,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,16SWE08202,16SWE08203,0.002,Centre,SINGLE EUPHOTIC COMPOSITE,08/23/2016 9:30 AM
08/23/2017 8:29 AM,0.009,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,3626,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,17SWE12722,17SWE12723,0.002,Centre,SINGLE EUPHOTIC COMPOSITE,08/23/2017 7:30 AM
05/26/2014 12:00 PM,0.0096,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,567,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",106650,,0.001,"'---",,05/26/2014 11:00 AM
07/10/2014 12:00 PM,0.0065,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,567,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",107509,,0.001,"'---",,07/10/2014 11:00 AM
09/06/2014 12:00 PM,0.0345,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,567,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",107506,,0.001,"'---",,09/06/2014 11:00 AM
03/03/2015 12:00 PM,0.0213,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,567,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",107512,,0.001,"'---",,03/03/2015 12:00 PM
03/15/2016 12:00 PM,0.01,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,443,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112645,,0.003,"'---",,03/15/2016 11:00 AM
07/19/2016 12:00 PM,0.005,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,443,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112441,,0.003,"'---",,07/19/2016 11:00 AM
09/20/2016 12:00 PM,0.011,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,443,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112243,,0.003,"'---",,09/20/2016 11:00 AM
03/14/2017 12:00 PM,0.014,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,443,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",111676,,0.003,"'---",,03/14/2017 11:00 AM
09/16/2020 8:00 AM,0.005,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,443,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",20SWE10884,20SWE10885,0.003,Centre,SINGLE EUPHOTIC COMPOSITE,09/16/2020 7:00 AM
08/19/2021 3:15 PM,0.003,NAMUR LAKE,NAMUR LAKE,,<,mg/l,443,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",21SWE04629,21SWE04629-01,0.0030,Centre,EUPHOTIC COMPOSITE,08/19/2021 2:15 PM
09/14/2022 8:50 AM,0.0072,NAMUR LAKE,NAMUR LAKE,,"'---",mg/l,443,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",22SWE04613,22SWE04613-01,0.0030,Centre,SINGLE EUPHOTIC COMPOSITE,09/14/2022 7:50 AM
