Sampling Timestamp,Turbidity,Site Name,Station Name,Depth,Value Sign,Unit Symbol,Method,Laboratory,Sampling Number,Sample Number,RDL,Sample Location,Sample Type,Sample Timestamp
08/30/2012 9:00 AM,0.64,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,47,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,12SWE02310,12SWE02311,,Centre,SINGLE EUPHOTIC COMPOSITE,08/30/2012 8:00 AM
08/26/2013 12:45 PM,1.53,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,47,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,13SWE02199,13SWE02200,,Centre,SINGLE EUPHOTIC COMPOSITE,08/26/2013 11:45 AM
08/19/2014 2:30 PM,0.71,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,47,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,14SWE02262,14SWE02263,,Centre,SINGLE EUPHOTIC COMPOSITE,08/19/2014 1:30 PM
08/27/2015 4:30 PM,0.58,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,47,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,15SWE05478,15SWE05479,,Centre,SINGLE EUPHOTIC COMPOSITE,08/27/2015 3:30 PM
08/23/2016 10:30 AM,0.88,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,47,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,16SWE08202,16SWE08203,,Centre,SINGLE EUPHOTIC COMPOSITE,08/23/2016 9:30 AM
08/23/2017 8:29 AM,0.315,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,47,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,17SWE12722,17SWE12723,,Centre,SINGLE EUPHOTIC COMPOSITE,08/23/2017 7:30 AM
03/15/2016 12:00 PM,0.39,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,409,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112645,,0.1,"'---",,03/15/2016 11:00 AM
07/19/2016 12:00 PM,0.4,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,409,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112441,,0.1,"'---",,07/19/2016 11:00 AM
09/20/2016 12:00 PM,1.3,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,409,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112243,,0.1,"'---",,09/20/2016 11:00 AM
03/14/2017 12:00 PM,0.93,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,409,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",111676,,0.1,"'---",,03/14/2017 11:00 AM
09/16/2020 8:00 AM,0.44,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,409,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",20SWE10884,20SWE10885,0.1,Centre,SINGLE EUPHOTIC COMPOSITE,09/16/2020 7:00 AM
08/19/2021 3:15 PM,0.71,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,409,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",21SWE04629,21SWE04629-01,0.10,Centre,EUPHOTIC COMPOSITE,08/19/2021 2:15 PM
09/14/2022 8:50 AM,0.67,NAMUR LAKE,NAMUR LAKE,,"'---",NTU,409,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",22SWE04613,22SWE04613-01,0.10,Centre,SINGLE EUPHOTIC COMPOSITE,09/14/2022 7:50 AM
