lake,sampling_timestamp,sample_timestamp,site_name,station_name,depth,value_sign,unit_symbol,method,laboratory,sampling_number,sample_number,rdl,sample_location,sample_type,aluminum_dissolved,aluminum_total_recoverable,calcium_dissolved,calcium_total,copper_dissolved,copper_total_recoverable,lead_dissolved,lead_total_recoverable,nickel_dissolved,nickel_total_recoverable,nitrogen_kjeldahl_dissolved,oxygen_biochemical_demand,oxygen_dissolved_percent_saturation,ph,phosphorus_total,phosphorus_total_dissolved,turbidity,vanadium_dissolved,vanadium_total_recoverable,distance_group,project_number,station_number,station,latitude_decimal_degrees,longitude_decimal_degrees,sample_datetime,station_type_code,sample_matrix_code,sample_type_code,collection_code,qc_sample_flag,sample_comment,continental_river_basin_code,river_basin_code,river_sub_basin_code,aluminum_extractable,calcium_dissolved_filtered,copper_extractable,copper_total,lead_extractable,lead_total,nickel_total,nitrogen_dissolved_nitrate,nitrogen_dissolved_nitrite,oxygen_dissolved_field_meter,oxygen_total_cod,ph_lab,turbidity_jtu,turbidity_ntu,vanadium_total,nitrogen_dissolved,sampling timestamp,value,unit symbol,site name,station name,parameter,aluminum dissolved,aluminum total recoverable,calcium dissolved,calcium total,copper dissolved,copper total recoverable,lead dissolved,lead total recoverable,nickel dissolved,nickel total recoverable,nitrogen dissolved,phosphorus total dissolved,phosphorus total,vanadium dissolved,oxygen dissolved % saturation,oxygen biochemical demand,calcium_total_recoverable,nitrogen_dissolved_no3_no2,nitrogen_particulate_total,oxygen_dissolved_winkler,final_sample_date
Isadore,2007-07-20 12:00:00,2007-07-20 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,2577.0,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",104275,,0.5,'---,,,,39.2,,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-07-20 12:00:00
Isadore,2008-07-14 12:00:00,2008-07-14 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,2577.0,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",104272,,0.5,'---,,,,68.6,,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-07-14 12:00:00
Isadore,2004-07-30 12:00:00,2004-07-30 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1849.0,Alberta Research Council,104284,,0.1,'---,,,,24.6,,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-30 12:00:00
Isadore,2005-08-01 12:00:00,2005-08-01 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1849.0,Alberta Research Council,104281,,0.1,'---,,,,39.5,,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-08-01 12:00:00
Isadore,2006-07-24 12:00:00,2006-07-24 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1849.0,Alberta Research Council,104278,,0.1,'---,,,,33.1,,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-07-24 12:00:00
Isadore,2007-07-20 12:00:00,2007-07-20 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1849.0,Alberta Research Council,104275,,0.1,'---,,,,35.0,,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-07-20 12:00:00
Isadore,2008-07-14 12:00:00,2008-07-14 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1849.0,Alberta Research Council,104272,,0.1,'---,,,,62.8,,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-07-14 12:00:00
Isadore,2009-09-13 12:00:00,2009-09-13 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1849.0,Alberta Research Council,104269,,0.1,'---,,,,63.2,,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-09-13 12:00:00
Isadore,2011-09-11 12:00:00,2011-09-11 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1849.0,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),106040,,0.1,'---,,,,58.8,,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-09-11 12:00:00
Isadore,2012-09-12 12:00:00,2012-09-12 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1849.0,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),106037,,0.1,'---,,,,60.3,,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-12 12:00:00
Isadore,2013-09-06 12:00:00,2013-09-06 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1849.0,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),106980,,0.1,'---,,,,90.8,,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-09-06 12:00:00
Isadore,2014-09-03 12:00:00,2014-09-03 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1849.0,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107395,,0.03,'---,,,,88.4,,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-09-03 12:00:00
Isadore,2016-09-20 12:00:00,2016-09-20 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1849.0,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112231,,0.03,'---,,,,59.4,,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-09-20 12:00:00
Isadore,2009-09-13 12:00:00,2009-09-13 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,3155.0,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",104269,,0.5,'---,,,,72.8,,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-09-13 12:00:00
Isadore,2011-09-11 12:00:00,2011-09-11 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,3155.0,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",106040,,0.5,'---,,,,57.2,,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-09-11 12:00:00
Isadore,2012-09-12 12:00:00,2012-09-12 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,3155.0,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",106037,,0.5,'---,,,,59.1,,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-12 12:00:00
Isadore,2013-09-06 12:00:00,2013-09-06 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,3158.0,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",106980,,0.5,'---,,,,90.4,,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-09-06 12:00:00
Isadore,2014-09-03 12:00:00,2014-09-03 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,3158.0,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",107395,,0.5,'---,,,,107.0,,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-09-03 12:00:00
Isadore,2016-09-20 12:00:00,2016-09-20 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1516.0,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112231,,0.3,'---,,,,68.0,,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-09-20 12:00:00
Isadore,2004-07-30 12:00:00,2004-07-30 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1847.0,Alberta Research Council,104284,,0.1,'---,,,,,25.5,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-30 12:00:00
Isadore,2005-08-01 12:00:00,2005-08-01 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1847.0,Alberta Research Council,104281,,0.1,'---,,,,,39.7,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-08-01 12:00:00
Isadore,2006-07-24 12:00:00,2006-07-24 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1847.0,Alberta Research Council,104278,,0.1,'---,,,,,35.4,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-07-24 12:00:00
Isadore,2007-07-20 12:00:00,2007-07-20 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1847.0,Alberta Research Council,104275,,0.1,'---,,,,,35.7,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-07-20 12:00:00
Isadore,2008-07-14 12:00:00,2008-07-14 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1847.0,Alberta Research Council,104272,,0.1,'---,,,,,64.8,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-07-14 12:00:00
Isadore,2009-09-13 12:00:00,2009-09-13 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1847.0,Alberta Research Council,104269,,0.1,'---,,,,,64.2,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-09-13 12:00:00
Isadore,2011-09-11 12:00:00,2011-09-11 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1847.0,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),106040,,0.1,'---,,,,,67.5,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-09-11 12:00:00
Isadore,2012-09-12 12:00:00,2012-09-12 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1847.0,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),106037,,0.1,'---,,,,,60.8,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-12 12:00:00
Isadore,2013-09-06 12:00:00,2013-09-06 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1847.0,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),106980,,0.1,'---,,,,,91.0,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-09-06 12:00:00
Isadore,2014-09-03 12:00:00,2014-09-03 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1847.0,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107395,,0.01,'---,,,,,100.0,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-09-03 12:00:00
Isadore,2016-09-20 12:00:00,2016-09-20 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,1847.0,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112231,,0.01,'---,,,,,64.8,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-09-20 12:00:00
Isadore,2016-09-20 12:00:00,2016-09-20 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,mg/l,440.0,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112231,,0.3,'---,,,,,67.0,,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-09-20 12:00:00
Isadore,2004-07-30 12:00:00,2004-07-30 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,µg/l,1849.0,Alberta Research Council,104284,,0.0001,'---,,,,,,0.331,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-30 12:00:00
Isadore,2005-08-01 12:00:00,2005-08-01 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,µg/l,1849.0,Alberta Research Council,104281,,0.0001,'---,,,,,,0.525,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-08-01 12:00:00
Isadore,2006-07-24 12:00:00,2006-07-24 11:00:00,ISADORE'S LAKE,COMPOSITE,,<,µg/l,1849.0,Alberta Research Council,104278,,0.0001,'---,,,,,,0.05,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-07-24 12:00:00
Isadore,2007-07-20 12:00:00,2007-07-20 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,µg/l,1849.0,Alberta Research Council,104275,,0.0001,'---,,,,,,0.259,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-07-20 12:00:00
Isadore,2008-07-14 12:00:00,2008-07-14 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,µg/l,1849.0,Alberta Research Council,104272,,0.0001,'---,,,,,,0.245,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-07-14 12:00:00
Isadore,2009-09-13 12:00:00,2009-09-13 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,µg/l,1849.0,Alberta Research Council,104269,,0.0001,'---,,,,,,0.323,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-09-13 12:00:00
Isadore,2011-09-11 12:00:00,2011-09-11 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,µg/l,1849.0,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),106040,,0.0001,'---,,,,,,0.639,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-09-11 12:00:00
Isadore,2012-09-12 12:00:00,2012-09-12 11:00:00,ISADORE'S LAKE,COMPOSITE,,'---,µg/l,1849.0,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),106037,,0.0001,'---,,,,,,0.483,,,,,,,,,,,,,,,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-12 12:00:00
